,Station ID,Total Distance
0,3021.0,1074.8741333766357
1,3022.0,2907.9406958833106
2,3076.0,1141.72934712368
3,3031.0,2353.0224485955428
4,3063.0,1611.6458443062768
5,3042.0,2492.3171487545437
6,3054.0,553.5069075799317
7,3006.0,1506.4943631582116
8,3018.0,638.2775057362942
9,3014.0,3368.9132342311027
10,3037.0,1024.26356318613
11,3034.0,1766.9634157653397
12,3016.0,953.492397488952
13,3005.0,2855.3278395278767
14,3047.0,1258.4985118398226
15,3040.0,967.9656854113816
16,3066.0,1739.8242570872517
17,3033.0,465.11201635728645
18,3030.0,2681.7110831147706
19,3055.0,1784.4612191406402
20,3065.0,865.038326266991
21,3068.0,1705.2172257886466
22,3007.0,1411.230867723049
23,3052.0,1593.2767986872352
24,3019.0,1215.8733456942464
25,3049.0,2262.105322050288
26,3075.0,1197.0260706704364
27,3032.0,1646.3417665920065
28,3067.0,2189.310392705845
29,3035.0,2279.9208337022296
30,3051.0,1169.0050208975476
31,3062.0,1270.8066676250771
32,3058.0,1730.4889755632125
33,3045.0,173.28848564212328
34,3080.0,132.09647321337354
35,3038.0,1920.2714294276561
36,3053.0,10.339936360284202
37,3069.0,2943.366643098208
38,3036.0,948.4851028822895
39,3079.0,442.38051739083613
40,3008.0,1165.143117392994
41,3056.0,739.3269832850394
42,3028.0,852.8893088674382
43,3020.0,861.6855141608936
44,3023.0,1160.5703966586293
45,3025.0,558.6821826236825
46,3074.0,1304.4409456499445
47,3027.0,1433.0364064847258
48,3026.0,1608.1946407082373
49,3057.0,329.5348469559682
50,3078.0,801.4842527873526
51,3029.0,887.8374294061128
52,3060.0,214.0150863636926
53,3077.0,491.46220253585153
54,3059.0,412.5165816117639
55,3010.0,381.02773939614605
56,3064.0,2376.1720185352838
57,3046.0,672.6661000623504
58,3011.0,839.1856519097789
59,4108.0,101.13722607747052
60,3048.0,3002.530130811282
61,3081.0,457.99142258397086
62,3024.0,1443.45134249883
63,3082.0,2244.2504264852946
