,Avg Trip Duration,Month,Number of Trips,Total Trip Duration
0,18.46663747810858,7,11420,210889.0
1,26.860514221835796,8,24153,648762.0
2,23.550387596899224,9,19866,467852.0
3,23.190057661087163,10,17863,414244.0
4,20.28846153846154,11,14196,288015.0
5,18.582066427810595,12,10327,191897.0
